,Title,Author,Format-Year
0,"Learning Spanish-beginner I
Learning Spanish-beginner I, eBook","Iris Acevedo A. • Spanishonline, Costarica","eBook, 2025 — Spanish"
1,"Real-World Spanish: The Conversation Learning System
Real-World Spanish: The Conversation Learning System, eAudiobook",Camila Vega Rivera,"eAudiobook, 2025"
2,"100 Facts About Learning Spanish
100 Facts About Learning Spanish, eAudiobook",Science-Based Language Learning Lab,"eAudiobook, 2024"
3,"A Beginner's Guide to Learning Spanish
A Beginner's Guide to Learning Spanish, eAudiobook","Miller, Jackson","eAudiobook, 2024"
4,"100 Facts About Learning Spanish
100 Facts About Learning Spanish, eBook
English to Spanish",Science-Based Language Learning Lab,"eBook, 2024"
5,"No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners, eBook","Bennett, Olivia","eBook, 2024"
6,"Learning Spanish for Adults Beginner
Learning Spanish for Adults Beginner, eBook","World, Spain","eBook, 2023"
7,"Learning to Read in English and Spanish Made Easy
Learning to Read in English and Spanish Made Easy, eBook
A Guide for Teachers, Tutors, and Parents","Navarijo, Susie G.","eBook, 2022"
8,"Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast, eBook",Language Equipped Travelers,"eBook, 2021"
9,"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &
Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &, eBook","Michaels, Steven J.","eBook, 2021"
10,"Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas, eBook",Learn Like a Native,"eBook, 2021"
11,"Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas, eBook",Learn Like a Native,"eBook, 2021"
12,"I'm Learning Spanish
I'm Learning Spanish, eAudiobook
Listen, Repeat, Speak language learning course","Gardner, James M.","eAudiobook, 2020 — Chinese"
13,"I am learning Spanish
I am learning Spanish, eAudiobook","Gardner, James M.","eAudiobook, 2018"
14,"The Best Spanish Learning Games for Children
The Best Spanish Learning Games for Children, eBook","Professor, Baby","eBook, 2017"
15,"Easy Learning Spanish Vocabulary
Easy Learning Spanish Vocabulary, eBook","Dictionaries, Collins","eBook, 2016 — Spanish"
16,"Spanish Easy Learning Complete Course
Spanish Easy Learning Complete Course, eAudiobook
Language Learning the easy way with Collins","Carmen García del Río • Fitzsimons, Ronan","eAudiobook, 2016"
17,"Learning the Local Language: Your Guide to Real World Spanish
Learning the Local Language: Your Guide to Real World Spanish, eBook","Romey, Jared","eBook, 2013"
18,"Expressing Possession in Spanish
Expressing Possession in Spanish, Streaming Video
Learning Spanish II: How to Understand and Speak a New Language, Episode 11",[],"Streaming Video, 2017"
19,"Cognates and False Cognates
Cognates and False Cognates, Streaming Video
Learning Spanish II: How to Understand and Speak a New Language, Episode 16",[],"Streaming Video, 2017"
